2021-11-16 16:56:40 INFO  .:27 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:56:43 INFO  .:31 - the browser has launched successfully
2021-11-16 16:56:43 INFO  .:43 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:56:46 INFO  .:46 - navigated successfuly
2021-11-16 16:56:46 INFO  .:58 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:56:51 INFO  .:63 - admin login successful
2021-11-16 16:56:51 INFO  .:76 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:56:54 INFO  .:79 - minimized fly out window
2021-11-16 16:56:54 INFO  .:91 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:57:15 INFO  .:110 - user created succesfully
2021-11-16 16:57:15 INFO  .:122 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:57:23 INFO  .:132 - user deleted successfully
2021-11-16 16:57:23 INFO  .:144 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:57:25 INFO  .:147 - admin logged out successfully
2021-11-16 16:57:25 INFO  .:160 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:57:26 INFO  .:162 - the browser closed successfully
2021-11-16 16:57:26 INFO  .:23 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:57:28 INFO  .:28 - the browser has launched successfully
2021-11-16 16:57:28 INFO  .:40 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:57:30 INFO  .:43 - navigated succesfuly
2021-11-16 16:57:30 INFO  .:55 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:57:35 INFO  .:60 - admin logged in successfully
2021-11-16 16:57:35 INFO  .:72 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:57:37 INFO  .:75 - minimized window succesfully
2021-11-16 16:57:37 INFO  .:87 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:57:59 INFO  .:106 - user created succesfully
2021-11-16 16:57:59 INFO  .:118 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:58:08 INFO  .:127 - user modified successfully
2021-11-16 16:58:08 INFO  .:139 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 16:58:15 INFO  .:149 - deleted user successfully
